X,Y,CH,Density,GF,simulationID,simtime
-57.802928656210526,-43.53505271962999,0,0,1,17,140
-42.802928656210526,-43.53505271962999,0,0,1,17,140
-27.802928656210526,-43.53505271962999,0,0,1,17,140
-12.802928656210526,-43.53505271962999,0,0,1,17,140
2.1970713437894744,-43.53505271962999,0,0,1,17,140
17.197071343789474,-43.53505271962999,89.0423109230251,2,0.9947643979057592,17,140
32.197071343789474,-43.53505271962999,0,0,1,17,140
47.197071343789474,-43.53505271962999,86.48855577907311,4,0.9895287958115183,17,140
62.197071343789474,-43.53505271962999,0,0,1,17,140
77.19707134378947,-43.53505271962999,0,0,1,17,140
92.19707134378947,-43.53505271962999,0,0,1,17,140
107.19707134378947,-43.53505271962999,0,0,1,17,140
122.19707134378947,-43.53505271962999,0,0,1,17,140
137.19707134378947,-43.53505271962999,0,0,1,17,140
152.19707134378947,-43.53505271962999,0,0,1,17,140
167.19707134378947,-43.53505271962999,0,0,1,17,140
182.19707134378947,-43.53505271962999,0,0,1,17,140
197.19707134378947,-43.53505271962999,89.6119933268812,7,0.981675392670157,17,140
212.19707134378947,-43.53505271962999,0,0,1,17,140
227.19707134378947,-43.53505271962999,0,0,1,17,140
242.19707134378947,-43.53505271962999,0,0,1,17,140
257.1970713437895,-43.53505271962999,0,0,1,17,140
272.1970713437895,-43.53505271962999,0,0,1,17,140
287.1970713437895,-43.53505271962999,0,0,1,17,140
302.1970713437895,-43.53505271962999,0,0,1,17,140
317.1970713437895,-43.53505271962999,0,0,1,17,140
332.1970713437895,-43.53505271962999,0,0,1,17,140
347.1970713437895,-43.53505271962999,0,0,1,17,140
362.1970713437895,-43.53505271962999,0,0,1,17,140
-57.802928656210526,-28.535052719629988,0,0,1,17,140
-42.802928656210526,-28.535052719629988,0,0,1,17,140
-27.802928656210526,-28.535052719629988,92.71173485697348,3,0.9921465968586387,17,140
-12.802928656210526,-28.535052719629988,39.55097278788438,9,0.9764397905759162,17,140
2.1970713437894744,-28.535052719629988,0,0,1,17,140
17.197071343789474,-28.535052719629988,95.86601702633094,7,0.981675392670157,17,140
32.197071343789474,-28.535052719629988,41.10411583465056,30,0.9214659685863874,17,140
47.197071343789474,-28.535052719629988,76.64165736415245,28,0.9267015706806283,17,140
62.197071343789474,-28.535052719629988,4.045924982074963,8,0.9790575916230366,17,140
77.19707134378947,-28.535052719629988,89.86849492959293,9,0.9764397905759162,17,140
92.19707134378947,-28.535052719629988,0,0,1,17,140
107.19707134378947,-28.535052719629988,48.08885460343872,19,0.9502617801047121,17,140
122.19707134378947,-28.535052719629988,44.74904854019222,29,0.9240837696335078,17,140
137.19707134378947,-28.535052719629988,0,0,1,17,140
152.19707134378947,-28.535052719629988,85.88198457335096,2,0.9947643979057592,17,140
167.19707134378947,-28.535052719629988,56.26100036850653,10,0.9738219895287958,17,140
182.19707134378947,-28.535052719629988,67.65899270690288,21,0.9450261780104712,17,140
197.19707134378947,-28.535052719629988,60.186840165838326,18,0.9528795811518325,17,140
212.19707134378947,-28.535052719629988,63.57567696524557,15,0.9607329842931938,17,140
227.19707134378947,-28.535052719629988,0,0,1,17,140
242.19707134378947,-28.535052719629988,20.58402992377097,13,0.9659685863874345,17,140
257.1970713437895,-28.535052719629988,21.837254518726773,12,0.9685863874345549,17,140
272.1970713437895,-28.535052719629988,34.468467335527116,5,0.9869109947643979,17,140
287.1970713437895,-28.535052719629988,0,0,1,17,140
302.1970713437895,-28.535052719629988,0,0,1,17,140
317.1970713437895,-28.535052719629988,0,0,1,17,140
332.1970713437895,-28.535052719629988,-2.0203983605553795,3,0.9921465968586387,17,140
347.1970713437895,-28.535052719629988,0,0,1,17,140
362.1970713437895,-28.535052719629988,0,0,1,17,140
-57.802928656210526,-13.535052719629988,0,0,1,17,140
-42.802928656210526,-13.535052719629988,0,0,1,17,140
-27.802928656210526,-13.535052719629988,-0.12458695337056991,6,0.9842931937172775,17,140
-12.802928656210526,-13.535052719629988,70.9341677777107,17,0.9554973821989529,17,140
2.1970713437894744,-13.535052719629988,54.39274432729008,34,0.9109947643979057,17,140
17.197071343789474,-13.535052719629988,37.48537660590564,41,0.8926701570680629,17,140
32.197071343789474,-13.535052719629988,54.85497002386397,67,0.824607329842932,17,140
47.197071343789474,-13.535052719629988,55.09913551695259,86,0.774869109947644,17,140
62.197071343789474,-13.535052719629988,55.95635801043352,37,0.9031413612565445,17,140
77.19707134378947,-13.535052719629988,44.050179613977065,39,0.8979057591623036,17,140
92.19707134378947,-13.535052719629988,47.90624271168912,27,0.9293193717277487,17,140
107.19707134378947,-13.535052719629988,61.669840375539124,48,0.8743455497382199,17,140
122.19707134378947,-13.535052719629988,30.555308375776765,40,0.8952879581151832,17,140
137.19707134378947,-13.535052719629988,52.40599212412179,16,0.9581151832460733,17,140
152.19707134378947,-13.535052719629988,0.10972643719750451,9,0.9764397905759162,17,140
167.19707134378947,-13.535052719629988,48.985450487612034,20,0.9476439790575916,17,140
182.19707134378947,-13.535052719629988,62.755039395081845,46,0.8795811518324608,17,140
197.19707134378947,-13.535052719629988,63.24596687763268,43,0.887434554973822,17,140
212.19707134378947,-13.535052719629988,47.412303915303276,37,0.9031413612565445,17,140
227.19707134378947,-13.535052719629988,55.587041075520716,23,0.9397905759162304,17,140
242.19707134378947,-13.535052719629988,16.313334565902718,41,0.8926701570680629,17,140
257.1970713437895,-13.535052719629988,51.70055405106617,17,0.9554973821989529,17,140
272.1970713437895,-13.535052719629988,66.95443240239803,12,0.9685863874345549,17,140
