X,Y,Density,GF,layer,simulationID,simtime
-46.326555630141144,-45.12424623038513,0,1,1,42,140
-31.326555630141144,-45.12424623038513,0,1,1,42,140
-16.326555630141144,-45.12424623038513,0,1,1,42,140
-1.3265556301411436,-45.12424623038513,0,1,1,42,140
13.673444369858856,-45.12424623038513,0,1,1,42,140
28.673444369858856,-45.12424623038513,0,1,1,42,140
43.673444369858856,-45.12424623038513,0,1,1,42,140
58.673444369858856,-45.12424623038513,0,1,1,42,140
73.67344436985886,-45.12424623038513,0,1,1,42,140
88.67344436985886,-45.12424623038513,0,1,1,42,140
103.67344436985886,-45.12424623038513,0,1,1,42,140
118.67344436985886,-45.12424623038513,0,1,1,42,140
133.67344436985886,-45.12424623038513,0,1,1,42,140
148.67344436985886,-45.12424623038513,0,1,1,42,140
163.67344436985886,-45.12424623038513,0,1,1,42,140
178.67344436985886,-45.12424623038513,0,1,1,42,140
193.67344436985886,-45.12424623038513,0,1,1,42,140
208.67344436985886,-45.12424623038513,0,1,1,42,140
223.67344436985886,-45.12424623038513,0,1,1,42,140
238.67344436985886,-45.12424623038513,0,1,1,42,140
253.67344436985886,-45.12424623038513,0,1,1,42,140
268.6734443698589,-45.12424623038513,0,1,1,42,140
283.6734443698589,-45.12424623038513,0,1,1,42,140
298.6734443698589,-45.12424623038513,0,1,1,42,140
313.6734443698589,-45.12424623038513,0,1,1,42,140
328.6734443698589,-45.12424623038513,0,1,1,42,140
343.6734443698589,-45.12424623038513,0,1,1,42,140
358.6734443698589,-45.12424623038513,0,1,1,42,140
-46.326555630141144,-30.124246230385133,0,1,1,42,140
-31.326555630141144,-30.124246230385133,0,1,1,42,140
-16.326555630141144,-30.124246230385133,0,1,1,42,140
-1.3265556301411436,-30.124246230385133,5,0.9532710280373832,1,42,140
13.673444369858856,-30.124246230385133,0,1,1,42,140
28.673444369858856,-30.124246230385133,1,0.9906542056074766,1,42,140
43.673444369858856,-30.124246230385133,4,0.9626168224299065,1,42,140
58.673444369858856,-30.124246230385133,1,0.9906542056074766,1,42,140
73.67344436985886,-30.124246230385133,2,0.9813084112149533,1,42,140
88.67344436985886,-30.124246230385133,0,1,1,42,140
103.67344436985886,-30.124246230385133,10,0.9065420560747663,1,42,140
118.67344436985886,-30.124246230385133,0,1,1,42,140
133.67344436985886,-30.124246230385133,1,0.9906542056074766,1,42,140
148.67344436985886,-30.124246230385133,4,0.9626168224299065,1,42,140
163.67344436985886,-30.124246230385133,0,1,1,42,140
178.67344436985886,-30.124246230385133,0,1,1,42,140
193.67344436985886,-30.124246230385133,4,0.9626168224299065,1,42,140
208.67344436985886,-30.124246230385133,0,1,1,42,140
223.67344436985886,-30.124246230385133,3,0.9719626168224299,1,42,140
238.67344436985886,-30.124246230385133,0,1,1,42,140
253.67344436985886,-30.124246230385133,2,0.9813084112149533,1,42,140
268.6734443698589,-30.124246230385133,11,0.897196261682243,1,42,140
283.6734443698589,-30.124246230385133,3,0.9719626168224299,1,42,140
298.6734443698589,-30.124246230385133,0,1,1,42,140
313.6734443698589,-30.124246230385133,0,1,1,42,140
328.6734443698589,-30.124246230385133,0,1,1,42,140
343.6734443698589,-30.124246230385133,0,1,1,42,140
358.6734443698589,-30.124246230385133,0,1,1,42,140
-46.326555630141144,-15.124246230385133,0,1,1,42,140
-31.326555630141144,-15.124246230385133,0,1,1,42,140
-16.326555630141144,-15.124246230385133,0,1,1,42,140
-1.3265556301411436,-15.124246230385133,8,0.9252336448598131,1,42,140
