X,Y,Density,GF,layer,simulationID,simtime
-57.3612048440027,-48.00328335520708,0,1,1,87,140
-42.3612048440027,-48.00328335520708,0,1,1,87,140
-27.3612048440027,-48.00328335520708,0,1,1,87,140
-12.3612048440027,-48.00328335520708,0,1,1,87,140
2.6387951559973004,-48.00328335520708,0,1,1,87,140
17.6387951559973,-48.00328335520708,0,1,1,87,140
32.6387951559973,-48.00328335520708,0,1,1,87,140
47.6387951559973,-48.00328335520708,0,1,1,87,140
62.6387951559973,-48.00328335520708,0,1,1,87,140
77.6387951559973,-48.00328335520708,0,1,1,87,140
92.6387951559973,-48.00328335520708,0,1,1,87,140
107.6387951559973,-48.00328335520708,0,1,1,87,140
122.6387951559973,-48.00328335520708,0,1,1,87,140
137.6387951559973,-48.00328335520708,0,1,1,87,140
152.6387951559973,-48.00328335520708,0,1,1,87,140
167.6387951559973,-48.00328335520708,0,1,1,87,140
182.6387951559973,-48.00328335520708,0,1,1,87,140
197.6387951559973,-48.00328335520708,0,1,1,87,140
212.6387951559973,-48.00328335520708,0,1,1,87,140
227.6387951559973,-48.00328335520708,0,1,1,87,140
242.6387951559973,-48.00328335520708,0,1,1,87,140
257.6387951559973,-48.00328335520708,0,1,1,87,140
272.6387951559973,-48.00328335520708,0,1,1,87,140
287.6387951559973,-48.00328335520708,0,1,1,87,140
302.6387951559973,-48.00328335520708,0,1,1,87,140
317.6387951559973,-48.00328335520708,0,1,1,87,140
332.6387951559973,-48.00328335520708,0,1,1,87,140
347.6387951559973,-48.00328335520708,0,1,1,87,140
362.6387951559973,-48.00328335520708,0,1,1,87,140
-57.3612048440027,-33.00328335520708,0,1,1,87,140
-42.3612048440027,-33.00328335520708,0,1,1,87,140
-27.3612048440027,-33.00328335520708,0,1,1,87,140
-12.3612048440027,-33.00328335520708,0,1,1,87,140
2.6387951559973004,-33.00328335520708,4,0.9738562091503268,1,87,140
17.6387951559973,-33.00328335520708,0,1,1,87,140
32.6387951559973,-33.00328335520708,0,1,1,87,140
47.6387951559973,-33.00328335520708,0,1,1,87,140
62.6387951559973,-33.00328335520708,0,1,1,87,140
77.6387951559973,-33.00328335520708,0,1,1,87,140
92.6387951559973,-33.00328335520708,0,1,1,87,140
107.6387951559973,-33.00328335520708,0,1,1,87,140
122.6387951559973,-33.00328335520708,0,1,1,87,140
137.6387951559973,-33.00328335520708,0,1,1,87,140
152.6387951559973,-33.00328335520708,0,1,1,87,140
