paramID,param_value,simulationID
seed_true_maxTi,4.5,69
seed_true_firstTi,6,69
seed_true_delayTi,10,69
seed_true_delayB,1,69
seed_true_delayRC,1000,69
seed_true_delaySB,1000,69
seed_true_firstB,1,69
seed_true_firstSB,1000,69
seed_true_maxB,0,69
seed_true_nC,0,69
seed_true_nz,0,69
seed_true_seedPos.x,0,69
seed_true_seedPos.y,0,69
seed_true_seedPos.z,-0.3,69
seed_true_simulationTime,240,69
root_taproot_la,0,69
root_taproot_lb,0,69
root_taproot_ln,10,69
root_taproot_lmax,10,69
root_taproot_r,0,69
root_taproot_a,0.05,69
root_taproot_tropismT,1,69
root_taproot_tropismN,0.5,69
root_taproot_tropismS,0.261799,69
root_taproot_dx,5,69
root_taproot_dxMin,1,69
root_taproot_theta,0.4,69
root_taproot_rlt,1000000000,69
root_taproot_gf,3,69
stem_mainstem_lb,0.,69
stem_mainstem_la,0,69
stem_mainstem_ln,30,69
stem_mainstem_lmax,100,69
stem_mainstem_r,5,69
stem_mainstem_delayNGStart,4,69
stem_mainstem_delayNGEnd,24,69
stem_mainstem_delayLat,10,69
stem_mainstem_nodalGrowth,0,69
stem_mainstem_a,0.15,69
stem_mainstem_tropismT,1,69
stem_mainstem_tropismN,0,69
stem_mainstem_tropismS,0.01,69
stem_mainstem_dx,9,69
stem_mainstem_dxMin,2,69
stem_mainstem_theta,0.1,69
stem_mainstem_rlt,1000000000,69
stem_mainstem_gf,3,69
stem_mainstem_successor,NA,69
stem_tiller_lb,0.,69
stem_tiller_la,0,69
stem_tiller_ln,30,69
stem_tiller_lmax,100,69
stem_tiller_r,20,69
stem_tiller_delayNGStart,4,69
stem_tiller_delayNGEnd,24,69
stem_tiller_delayLat,10,69
stem_tiller_nodalGrowth,0,69
stem_tiller_a,0.15,69
stem_tiller_tropismT,1,69
stem_tiller_tropismN,0,69
stem_tiller_tropismS,0.01,69
stem_tiller_dx,9,69
stem_tiller_dxMin,2,69
stem_tiller_theta,0.1,69
stem_tiller_rlt,1000000000,69
stem_tiller_gf,3,69
stem_tiller_successor,NA,69
leaf_lateral1_lb,8,69
leaf_lateral1_la,35,69
leaf_lateral1_ln,0,69
leaf_lateral1_lmax,43,69
leaf_lateral1_r,4,69
leaf_lateral1_a,0.1,69
leaf_lateral1_Width_petiole,0.9,69
leaf_lateral1_Width_blade,0.9,69
leaf_lateral1_shapeType,2,69
leaf_lateral1_tropismT,1,69
leaf_lateral1_tropismN,9.81,69
leaf_lateral1_tropismS,0.1,69
leaf_lateral1_dx,2,69
leaf_lateral1_dxMin,1,69
leaf_lateral1_theta,0.1,69
leaf_lateral1_rlt,1000000000.0,69
leaf_lateral1_gf,3,69
leaf_lateral1_areaMax,50,69
leaf_lateral1_geometryN,100,69
leaf_lateral1_parametrisationType,1,69
leaf_lateral1_leafGeometry,NA,69
field_field_simtime,140,69
field_field_N_row,18,69
field_field_N_col,6,69
field_field_N_plots,2,69
field_field_dist_col,25,69
field_field_dist_row,25,69
field_field_dist_plot,190,69
