"ID","simulationID","simtime","Mean_CH","Mean_GF","GFR1","GFR2","GFR3","GFR4","CHR1","CHR2","CHR3","CHR4","Mean_Density","seed_true_maxTi","GF_layer1","GF_layer2","GF_layer3","GF_layer4","GF_layer5","GF_layer6"
"1_140",1,140,44.5929613664484,0.690708028494417,31,202,300,447,979,845,463,49,131.139795918367,5.9,0.715423044217687,0.75261685319289,0.770055658627087,0.793132491091675,0.774727100142383,0.928877551020408
"10_140",10,140,44.3039956447811,0.72814039408867,12,173,352,507,1042,899,559,62,182.689655172414,8.8,0.729116075764934,0.757208538587849,0.786667133912718,0.765215852795471,0.76771480160303,0.89768373389063
"100_140",100,140,45.288845720425,0.705477400126627,21,186,351,457,1014,897,581,65,187.905418719212,8.2,0.729516161684324,0.780330222541278,0.7910528124642,0.760079815426825,0.782999794745484,0.922519352568614
"11_140",11,140,44.0741744011454,0.665270239964117,48,221,305,406,971,853,527,47,152.302040816327,6.1,0.719969566774078,0.729069948590123,0.850170068027211,0.746062925170068,0.740691696525939,0.937959183673469
"12_140",12,140,44.4632591818858,0.703521255245393,26,159,311,449,941,807,388,53,68.7830687830688,2,0.747222222222222,0.771972789115646,0.794444444444444,0.798926462694579,0.764346764346764,0.968061568061568
"13_140",13,140,45.1232093361921,0.658176943699732,69,251,253,435,1007,881,562,81,127.5,5.4,0.71697695035461,0.761436507936508,0.759200902583256,0.748526638378123,0.743704906204906,0.94459706959707
"14_140",14,140,44.4372896455899,0.704406300839819,16,183,347,462,1006,876,562,74,106.709325396825,4.2,0.719484629294756,0.759004884004884,0.794027777777778,0.765971132042561,0.800813828356201,0.949487433862434
"15_140",15,140,45.8464180829267,0.663088631679087,37,226,311,378,947,856,497,37,178.563025210084,7.2,0.705311652219943,0.728167737683309,0.755885442412259,0.709702832746002,0.702597830176847,0.916791716686675
"16_140",16,140,44.2745473876087,0.697873679792964,35,188,330,433,982,846,441,48,87.6166328600406,3.7,0.764271225731672,0.773184128358821,0.773620155866339,0.788215743297735,0.788076549960314,0.967748478701826
"17_140",17,140,46.2967405354981,0.68748601504052,24,222,300,426,970,867,499,59,132.19341563786,5.8,0.703936014867914,0.738203599079305,0.783418475947212,0.731229528848577,0.768712938660445,0.94348912404468
