"","x","y","GF","Height","Intensity"
"58",357607.9,5609906.7,0.957446813583374,0.0570000000298023,5140
"59",357608.1,5609906.7,0.979166686534882,0.0850000008940697,3598
"62",357608.7,5609906.7,1,0.0949999988079071,3598
"63",357608.9,5609906.7,1,0.0869999974966049,5225.66650390625
"64",357609.1,5609906.7,0.967741906642914,0.112999998033047,3341
"66",357609.5,5609906.7,0.962962985038757,0.0879999995231628,6168
"67",357609.7,5609906.7,0.95652174949646,0.0810000002384186,6168
"68",357609.9,5609906.7,1,0.025000000372529,4883
"111",357607.9,5609906.5,1,0.0359999984502792,5140
"112",357608.1,5609906.5,1,0.0260000005364418,3598
"114",357608.5,5609906.5,0.976190447807312,0.0430000014603138,2570
"115",357608.7,5609906.5,0.951219499111176,0.0719999969005585,3598
"116",357608.9,5609906.5,0.938775539398193,0.108999997377396,5225.66650390625
"117",357609.1,5609906.5,1,0.0729999989271164,3341
"120",357609.7,5609906.5,0.980000019073486,0.0670000016689301,3598
"121",357609.9,5609906.5,0.97560977935791,0.090999998152256,4883
"123",357610.3,5609906.5,0.901960790157318,0.10700000077486,5011.5
"124",357610.5,5609906.5,0.976190447807312,0.0869999974966049,5911
"125",357610.7,5609906.5,0.977777779102325,0.104000002145767,3341
"129",357611.5,5609906.5,0.866666674613953,0.0329999998211861,5911
"163",357607.7,5609906.3,0.97826087474823,0.0989999994635582,7453
"164",357607.9,5609906.3,0.969230771064758,0.0689999982714653,6168
"165",357608.1,5609906.3,0.91304349899292,0.0850000008940697,6874.75
"166",357608.3,5609906.3,0.964912295341492,0.105999998748302,6168
"167",357608.5,5609906.3,0.980392158031464,0.0719999969005585,6168
"168",357608.7,5609906.3,0.976190447807312,0.0949999988079071,7453
"171",357609.3,5609906.3,1,0.0480000004172325,3084
"172",357609.5,5609906.3,0.954545438289642,0.108999997377396,3341
"173",357609.7,5609906.3,0.97826087474823,0.0810000002384186,4112
"174",357609.9,5609906.3,0.979591846466064,0.0399999991059303,5054.33349609375
"175",357610.1,5609906.3,1,0.0500000007450581,2313
"176",357610.3,5609906.3,0.976190447807312,0.0729999989271164,3084
"177",357610.5,5609906.3,1,0.0710000023245811,3598
"181",357611.3,5609906.3,0.9454545378685,0.0659999996423721,5654
"182",357611.5,5609906.3,1,0.0759999975562096,5911
"183",357611.7,5609906.3,0.966101706027985,0.115000002086163,4240.5
"187",357612.5,5609906.3,1,0.0419999994337559,4112
"191",357613.3,5609906.3,1,0.0329999998211861,3186.80004882812
"216",357607.7,5609906.1,1,0.017000000923872,7453
"217",357607.9,5609906.1,1,0.116999998688698,2955.5
"218",357608.1,5609906.1,1,0.0649999976158142,6489.25
"219",357608.3,5609906.1,1,0.0540000014007092,4112
"220",357608.5,5609906.1,0.918918907642365,0.122000001370907,4369
"221",357608.7,5609906.1,0.945945918560028,0.0610000006854534,3598
"223",357609.1,5609906.1,0.978723406791687,0.0649999976158142,6168
"224",357609.3,5609906.1,0.981481492519379,0.0149999996647239,3084
"225",357609.5,5609906.1,0.95652174949646,0.0860000029206276,3469.5
"226",357609.7,5609906.1,0.979591846466064,0.0710000023245811,3341
"227",357609.9,5609906.1,0.921568632125854,0.028999999165535,5054.33349609375
"228",357610.1,5609906.1,0.952380955219269,0.0780000016093254,2313
"229",357610.3,5609906.1,0.961538434028625,0.0850000008940697,4112
"230",357610.5,5609906.1,0.964912295341492,0.131999999284744,3598
"231",357610.7,5609906.1,1,0.0540000014007092,4754.5
"232",357610.9,5609906.1,0.951219499111176,0.0570000000298023,4754.5
"233",357611.1,5609906.1,1,0.0350000001490116,12079
"234",357611.3,5609906.1,1,0.0540000014007092,4112
"235",357611.5,5609906.1,0.977777779102325,0.0949999988079071,5911
"238",357612.1,5609906.1,0.944444417953491,0.0570000000298023,3598
"239",357612.3,5609906.1,1,0.115000002086163,5911
"240",357612.5,5609906.1,0.962264180183411,0.0309999994933605,4112
"241",357612.7,5609906.1,0.942307710647583,0.0610000006854534,3084
"242",357612.9,5609906.1,1,0.0399999991059303,5911
"243",357613.1,5609906.1,0.980000019073486,0.0500000007450581,4369
"244",357613.3,5609906.1,0.896551728248596,0.136999994516373,3186.80004882812
"245",357613.5,5609906.1,0.976744174957275,0.105999998748302,6168
"246",357613.7,5609906.1,1,0.0370000004768372,3983.5
"247",357613.9,5609906.1,0.980392158031464,0.0469999983906746,3855
"248",357614.1,5609906.1,1,0.0930000022053719,3546.60009765625
"268",357607.5,5609905.9,0.899999976158142,0.142000004649162,6168
"269",357607.7,5609905.9,0.977777779102325,0.100000001490116,7453
"270",357607.9,5609905.9,0.959183692932129,0.129999995231628,2955.5
"271",357608.1,5609905.9,0.809523820877075,0.119999997317791,6489.25
"272",357608.3,5609905.9,0.882352948188782,0.0540000014007092,4112
"273",357608.5,5609905.9,0.804878056049347,0.122000001370907,2570
"277",357609.3,5609905.9,0.89473682641983,0.090999998152256,6168
"278",357609.5,5609905.9,0.930232584476471,0.0750000029802322,4883
"279",357609.7,5609905.9,0.838709652423859,0.104000002145767,6373.60009765625
"280",357609.9,5609905.9,0.909090936183929,0.0900000035762787,4240.5
"281",357610.1,5609905.9,0.952380955219269,0.129999995231628,2955.5
"282",357610.3,5609905.9,0.975000023841858,0.090999998152256,6168
"283",357610.5,5609905.9,1,0.0900000035762787,3598
"284",357610.7,5609905.9,0.968253970146179,0.108000002801418,4754.5
"285",357610.9,5609905.9,0.982456147670746,0.103000000119209,4112
"286",357611.1,5609905.9,0.98305082321167,0.0719999969005585,12079
"287",357611.3,5609905.9,0.981818199157715,0.0430000014603138,4112
"288",357611.5,5609905.9,1,0.0399999991059303,5911
"289",357611.7,5609905.9,0.943396210670471,0.0390000008046627,6767.66650390625
"292",357612.3,5609905.9,0.979166686534882,0.131999999284744,5911
"293",357612.5,5609905.9,0.899999976158142,0.061999998986721,5739.66650390625
"294",357612.7,5609905.9,0.9375,0.0860000029206276,5911
"295",357612.9,5609905.9,0.982758641242981,0.11599999666214,5911
"296",357613.1,5609905.9,0.977272748947144,0.0850000008940697,5911
"297",357613.3,5609905.9,0.918032765388489,0.0820000022649765,3341
"298",357613.5,5609905.9,0.929824590682983,0.0829999968409538,3790.75
"299",357613.7,5609905.9,0.960784316062927,0.112999998033047,3983.5
"300",357613.9,5609905.9,0.924242436885834,0.090999998152256,3238.19995117188
"301",357614.1,5609905.9,1,0.120999999344349,3546.60009765625
"302",357614.3,5609905.9,0.977272748947144,0.0939999967813492,2056
"305",357614.9,5609905.9,0.979591846466064,0.116999998688698,6682
"308",357615.5,5609905.9,0.960784316062927,0.0799999982118607,4497.5
"309",357615.7,5609905.9,0.964285731315613,0.0659999996423721,3855
"322",357607.7,5609905.7,0.942307710647583,0.0900000035762787,12593
"323",357607.9,5609905.7,0.867924511432648,0.145999997854233,7864.2001953125
"324",357608.1,5609905.7,0.847826063632965,0.145999997854233,7489.71435546875
"325",357608.3,5609905.7,0.857142865657806,0.0700000002980232,5868.16650390625
"326",357608.5,5609905.7,0.875,0.0670000016689301,7838.5
"327",357608.7,5609905.7,0.807692289352417,0.112999998033047,6039.5
"328",357608.9,5609905.7,0.686274528503418,0.128000006079674,4654.5556640625
"329",357609.1,5609905.7,0.466666668653488,0.131999999284744,7075.05859375
"330",357609.3,5609905.7,0.770833313465118,0.119999997317791,3855
"331",357609.5,5609905.7,0.867924511432648,0.068000003695488,3983.5
"332",357609.7,5609905.7,0.816326558589935,0.0740000009536743,8866.5
"333",357609.9,5609905.7,0.75,0.148000001907349,5311.33349609375
"334",357610.1,5609905.7,0.888888895511627,0.114000000059605,6296.5
"335",357610.3,5609905.7,0.886363625526428,0.151999995112419,6168
"336",357610.5,5609905.7,0.875,0.172000005841255,4626
"337",357610.7,5609905.7,0.939999997615814,0.119999997317791,4754.5
"338",357610.9,5609905.7,0.942857146263123,0.129999995231628,4112
"339",357611.1,5609905.7,0.981132090091705,0.0769999995827675,12079
"340",357611.3,5609905.7,0.897435903549194,0.101999998092651,3683.66674804688
"341",357611.5,5609905.7,0.962264180183411,0.0610000006854534,7967
"344",357612.1,5609905.7,0.964285731315613,0.0529999993741512,3855
"345",357612.3,5609905.7,0.982142865657806,0.0869999974966049,5911
"346",357612.5,5609905.7,0.981132090091705,0.0390000008046627,5739.66650390625
"347",357612.7,5609905.7,0.928571403026581,0.101999998092651,6767.66650390625
"348",357612.9,5609905.7,0.933333337306976,0.0810000002384186,4883
"349",357613.1,5609905.7,0.857142865657806,0.119000002741814,5589.75
"350",357613.3,5609905.7,0.982142865657806,0.0900000035762787,5911
"351",357613.5,5609905.7,0.95652174949646,0.0410000011324883,5911
"352",357613.7,5609905.7,0.97826087474823,0.096000000834465,5654
"353",357613.9,5609905.7,0.981132090091705,0.103000000119209,3238.19995117188
"354",357614.1,5609905.7,0.976190447807312,0.0489999987185001,11822
"355",357614.3,5609905.7,1,0.0719999969005585,2056
"356",357614.5,5609905.7,0.980000019073486,0.0869999974966049,7453
"357",357614.7,5609905.7,0.980392158031464,0.0480000004172325,3855
"358",357614.9,5609905.7,1,0.126000002026558,6682
"360",357615.3,5609905.7,0.97826087474823,0.0439999997615814,4112
"361",357615.5,5609905.7,1,0.0399999991059303,4497.5
"362",357615.7,5609905.7,0.918367326259613,0.123999997973442,7196
"363",357615.9,5609905.7,0.977777779102325,0.0199999995529652,5525.5
"365",357616.3,5609905.7,0.941176474094391,0.0769999995827675,5654
"367",357616.7,5609905.7,0.962264180183411,0.0860000029206276,5011.5
"370",357617.3,5609905.7,0.930232584476471,0.100000001490116,3855
"374",357607.5,5609905.5,0.952380955219269,0.116999998688698,5397
"375",357607.7,5609905.5,0.973684191703796,0.109999999403954,3084
"376",357607.9,5609905.5,0.926829278469086,0.0729999989271164,7453
"377",357608.1,5609905.5,0.840909063816071,0.119999997317791,7085.85693359375
"378",357608.3,5609905.5,0.918367326259613,0.0520000010728836,7131.75
"379",357608.5,5609905.5,0.857142865657806,0.0869999974966049,6296.5
"380",357608.7,5609905.5,0.829787254333496,0.0450000017881393,7710
"381",357608.9,5609905.5,0.617021262645721,0.114000000059605,7213.13330078125
"382",357609.1,5609905.5,0.309523820877075,0.130999997258186,6949.70849609375
"383",357609.3,5609905.5,0.660714268684387,0.195999994874001,7314.615234375
"384",357609.5,5609905.5,0.636363625526428,0.261000007390976,6904.7333984375
"385",357609.7,5609905.5,0.677966117858887,0.140000000596046,6724.83349609375
"386",357609.9,5609905.5,0.776119410991669,0.100000001490116,7324.5
"387",357610.1,5609905.5,0.833333313465118,0.0970000028610229,7453
"388",357610.3,5609905.5,0.953488349914551,0.0549999997019768,12336
"389",357610.5,5609905.5,0.964912295341492,0.0799999982118607,6939
"390",357610.7,5609905.5,0.875,0.111000001430511,7196
"392",357611.1,5609905.5,0.920634925365448,0.0549999997019768,10023
"393",357611.3,5609905.5,0.818181812763214,0.090999998152256,8738
"394",357611.5,5609905.5,0.764705896377563,0.11599999666214,10494.1669921875
"395",357611.7,5609905.5,0.745454549789429,0.137999996542931,7967
"399",357612.5,5609905.5,0.921568632125854,0.100000001490116,5696.8330078125
"400",357612.7,5609905.5,0.775510191917419,0.0670000016689301,4626
"401",357612.9,5609905.5,0.870370388031006,0.11599999666214,3919.25
"402",357613.1,5609905.5,0.866666674613953,0.108999997377396,11822
"403",357613.3,5609905.5,0.962264180183411,0.103000000119209,11822
"404",357613.5,5609905.5,0.93478262424469,0.143999993801117,5140
"405",357613.7,5609905.5,0.962962985038757,0.109999999403954,8995
"406",357613.9,5609905.5,1,0.0900000035762787,7324.5
"408",357614.3,5609905.5,0.983333349227905,0.068000003695488,6039.5
"409",357614.5,5609905.5,0.941176474094391,0.068000003695488,4626
"410",357614.7,5609905.5,0.97826087474823,0.0949999988079071,5654
"411",357614.9,5609905.5,0.981481492519379,0.0700000002980232,4754.5
"413",357615.3,5609905.5,0.928571403026581,0.0509999990463257,7196
"414",357615.5,5609905.5,0.966666638851166,0.0489999987185001,3855
"415",357615.7,5609905.5,0.934426248073578,0.0350000001490116,3855
"416",357615.9,5609905.5,0.962962985038757,0.0710000023245811,3855
"417",357616.1,5609905.5,0.955882370471954,0.115000002086163,3855
"418",357616.3,5609905.5,0.910714268684387,0.100000001490116,4968.66650390625
"419",357616.5,5609905.5,0.963636338710785,0.0890000015497208,4240.5
"420",357616.7,5609905.5,0.981132090091705,0.0920000001788139,5654
"421",357616.9,5609905.5,0.960784316062927,0.0810000002384186,5654
