X,Y,Density,GF,layer,simulationID,simtime
-57.32244071112676,-37.68336212319824,0,1,1,18,140
-42.32244071112676,-37.68336212319824,0,1,1,18,140
-27.32244071112676,-37.68336212319824,0,1,1,18,140
-12.32244071112676,-37.68336212319824,0,1,1,18,140
2.6775592888732405,-37.68336212319824,0,1,1,18,140
17.67755928887324,-37.68336212319824,0,1,1,18,140
32.67755928887324,-37.68336212319824,0,1,1,18,140
47.67755928887324,-37.68336212319824,0,1,1,18,140
62.67755928887324,-37.68336212319824,0,1,1,18,140
77.67755928887324,-37.68336212319824,0,1,1,18,140
92.67755928887324,-37.68336212319824,0,1,1,18,140
107.67755928887324,-37.68336212319824,0,1,1,18,140
122.67755928887324,-37.68336212319824,0,1,1,18,140
137.67755928887323,-37.68336212319824,2,0.9782608695652174,1,18,140
152.67755928887323,-37.68336212319824,0,1,1,18,140
167.67755928887323,-37.68336212319824,0,1,1,18,140
182.67755928887323,-37.68336212319824,0,1,1,18,140
197.67755928887323,-37.68336212319824,0,1,1,18,140
212.67755928887323,-37.68336212319824,0,1,1,18,140
227.67755928887323,-37.68336212319824,0,1,1,18,140
242.67755928887323,-37.68336212319824,0,1,1,18,140
257.6775592888732,-37.68336212319824,0,1,1,18,140
272.6775592888732,-37.68336212319824,0,1,1,18,140
287.6775592888732,-37.68336212319824,0,1,1,18,140
302.6775592888732,-37.68336212319824,0,1,1,18,140
317.6775592888732,-37.68336212319824,0,1,1,18,140
332.6775592888732,-37.68336212319824,0,1,1,18,140
347.6775592888732,-37.68336212319824,0,1,1,18,140
-57.32244071112676,-22.683362123198243,0,1,1,18,140
-42.32244071112676,-22.683362123198243,0,1,1,18,140
-27.32244071112676,-22.683362123198243,0,1,1,18,140
-12.32244071112676,-22.683362123198243,0,1,1,18,140
2.6775592888732405,-22.683362123198243,2,0.9782608695652174,1,18,140
17.67755928887324,-22.683362123198243,5,0.9456521739130435,1,18,140
32.67755928887324,-22.683362123198243,8,0.9130434782608695,1,18,140
47.67755928887324,-22.683362123198243,0,1,1,18,140
62.67755928887324,-22.683362123198243,9,0.9021739130434783,1,18,140
77.67755928887324,-22.683362123198243,0,1,1,18,140
92.67755928887324,-22.683362123198243,0,1,1,18,140
107.67755928887324,-22.683362123198243,10,0.8913043478260869,1,18,140
122.67755928887324,-22.683362123198243,6,0.9347826086956522,1,18,140
137.67755928887323,-22.683362123198243,7,0.9239130434782609,1,18,140
152.67755928887323,-22.683362123198243,0,1,1,18,140
167.67755928887323,-22.683362123198243,0,1,1,18,140
182.67755928887323,-22.683362123198243,0,1,1,18,140
197.67755928887323,-22.683362123198243,0,1,1,18,140
212.67755928887323,-22.683362123198243,2,0.9782608695652174,1,18,140
227.67755928887323,-22.683362123198243,16,0.8260869565217391,1,18,140
242.67755928887323,-22.683362123198243,0,1,1,18,140
257.6775592888732,-22.683362123198243,18,0.8043478260869565,1,18,140
272.6775592888732,-22.683362123198243,9,0.9021739130434783,1,18,140
287.6775592888732,-22.683362123198243,0,1,1,18,140
302.6775592888732,-22.683362123198243,9,0.9021739130434783,1,18,140
317.6775592888732,-22.683362123198243,0,1,1,18,140
332.6775592888732,-22.683362123198243,6,0.9347826086956522,1,18,140
347.6775592888732,-22.683362123198243,0,1,1,18,140
-57.32244071112676,-7.683362123198243,0,1,1,18,140
-42.32244071112676,-7.683362123198243,0,1,1,18,140
-27.32244071112676,-7.683362123198243,0,1,1,18,140
-12.32244071112676,-7.683362123198243,3,0.967391304347826,1,18,140
2.6775592888732405,-7.683362123198243,31,0.6630434782608695,1,18,140
17.67755928887324,-7.683362123198243,23,0.75,1,18,140
32.67755928887324,-7.683362123198243,24,0.7391304347826086,1,18,140
47.67755928887324,-7.683362123198243,32,0.6521739130434783,1,18,140
62.67755928887324,-7.683362123198243,24,0.7391304347826086,1,18,140
77.67755928887324,-7.683362123198243,38,0.5869565217391305,1,18,140
92.67755928887324,-7.683362123198243,32,0.6521739130434783,1,18,140
107.67755928887324,-7.683362123198243,42,0.5434782608695652,1,18,140
122.67755928887324,-7.683362123198243,29,0.6847826086956522,1,18,140
137.67755928887323,-7.683362123198243,8,0.9130434782608695,1,18,140
152.67755928887323,-7.683362123198243,5,0.9456521739130435,1,18,140
167.67755928887323,-7.683362123198243,7,0.9239130434782609,1,18,140
182.67755928887323,-7.683362123198243,17,0.8152173913043478,1,18,140
197.67755928887323,-7.683362123198243,28,0.6956521739130435,1,18,140
212.67755928887323,-7.683362123198243,35,0.6195652173913043,1,18,140
227.67755928887323,-7.683362123198243,11,0.8804347826086957,1,18,140
242.67755928887323,-7.683362123198243,31,0.6630434782608695,1,18,140
257.6775592888732,-7.683362123198243,32,0.6521739130434783,1,18,140
272.6775592888732,-7.683362123198243,28,0.6956521739130435,1,18,140
287.6775592888732,-7.683362123198243,34,0.6304347826086957,1,18,140
302.6775592888732,-7.683362123198243,19,0.7934782608695652,1,18,140
317.6775592888732,-7.683362123198243,21,0.7717391304347826,1,18,140
332.6775592888732,-7.683362123198243,4,0.9565217391304348,1,18,140
347.6775592888732,-7.683362123198243,0,1,1,18,140
-57.32244071112676,7.316637876801757,0,1,1,18,140
-42.32244071112676,7.316637876801757,0,1,1,18,140
-27.32244071112676,7.316637876801757,15,0.8369565217391305,1,18,140
-12.32244071112676,7.316637876801757,26,0.717391304347826,1,18,140
2.6775592888732405,7.316637876801757,37,0.5978260869565217,1,18,140
17.67755928887324,7.316637876801757,44,0.5217391304347826,1,18,140
32.67755928887324,7.316637876801757,49,0.4673913043478261,1,18,140
